id,address,longitude,latitude,capacity,has_kiosk,station_type
439,E 4 St & 2 Ave,-73.98978041,40.7262807,39,True,classic
440,E 45 St & 3 Ave,-73.97282625,40.75255434,32,True,classic
442,W 27 St & 7 Ave,-73.993915,40.746647,51,True,classic
443,Bedford Ave & S 9 St,-73.96408963,40.70853074,23,True,classic
445,E 10 St & Avenue A,-73.98142006,40.72740794,80,True,classic
446,W 24 St & 7 Ave,-73.99529885,40.74487634,47,True,classic
447,8 Ave & W 52 St,-73.9851615,40.76370739,31,True,classic
448,W 37 St & 10 Ave,-73.9979009,40.75660359,27,True,classic
450,W 49 St & 8 Ave,-73.98788205,40.76227205,67,True,classic
453,W 22 St & 8 Ave,-73.99915362,40.74475148,66,True,classic
454,E 51 St & 1 Ave,-73.96592976,40.75455731,35,True,classic
455,1 Ave & E 44 St,-73.96905301,40.75001986,59,True,classic
456,E 53 St & Madison Ave,-73.97402311,40.7597108,34,True,classic
458,11 Ave & W 27 St,-74.005226,40.751396,31,True,classic
459,W 20 St & 11 Ave,-74.007756,40.746745,49,True,classic
460,S 4 St & Wythe Ave,-73.96590294,40.71285887,25,True,classic
461,E 20 St & 2 Ave,-73.98205027,40.73587678,56,True,classic
462,W 22 St & 10 Ave,-74.00451887,40.74691959,47,True,classic
464,E 56 St & 3 Ave,-73.96759673,40.75934501,53,True,classic
465,Broadway & W 41 St,-73.98658032,40.75513557,39,True,classic
466,W 25 St & 6 Ave,-73.99144871,40.74395411,35,True,classic
467,Dean St & 4 Ave,-73.97895137,40.68312489,34,True,classic
468,Broadway & W 56 St,-73.98192338,40.7652654,65,True,classic
469,Broadway & W 53 St,-73.98268129,40.76344058,57,True,classic
470,W 20 St & 8 Ave,-74.00004031,40.74345335,72,True,classic
471,Grand St & Havemeyer St,-73.95698119,40.71286844,31,True,classic
472,E 32 St & Park Ave,-73.98194829,40.7457121,55,True,classic
473,Rivington St & Chrystie St,-73.9919254,40.72110063,50,True,classic
474,5 Ave & E 29 St,-73.98683077,40.7451677,56,True,classic
476,E 31 St & 3 Ave,-73.97966069,40.74394314,47,True,classic
477,W 41 St & 8 Ave,-73.9900262,40.75640548,71,True,classic
478,11 Ave & W 41 St,-73.99884222,40.76030096,37,True,classic
479,9 Ave & W 45 St,-73.9912551,40.76019252,31,True,classic
480,W 53 St & 10 Ave,-73.99061728,40.76669671,29,True,classic
481,S 3 St & Bedford Ave,-73.96264403,40.71260486,25,True,classic
482,W 15 St & 7 Ave,-73.99931783,40.73935542,77,True,classic
483,E 12 St & 3 Ave,-73.98889957,40.73223272,34,True,classic
484,W 44 St & 5 Ave,-73.98014437,40.75500254,46,True,classic
485,W 37 St & 5 Ave,-73.98338988,40.75038009,40,True,classic
